metric_name,metric_value,scenario,n,salary,i
twr,0.10472576737859662,iis,15,100000,1
pension,1125.41449439477,iis,15,100000,1
kz,0.1350497393273724,iis,15,100000,1
savings,182140.26720452413,iis,15,100000,2
roi,0.7784051631463393,iis,15,100000,2
irr,0.069693079772422,iis,15,100000,2
twr,0.08399670181188323,iis,15,100000,2
pension,672.3350345488457,iis,15,100000,2
kz,0.0806802041458615,iis,15,100000,2
savings,268980.1446041742,iis,15,100000,3
roi,1.626303811286111,iis,15,100000,3
irr,0.11449619871022043,iis,15,100000,3
twr,0.1050979144542239,iis,15,100000,3
pension,992.8873916295046,iis,15,100000,3
kz,0.11914648699554056,iis,15,100000,3
savings,205891.08394051733,iis,15,100000,4
roi,1.0103065200538888,iis,15,100000,4
irr,0.08393820291120146,iis,15,100000,4
twr,0.11002916946647945,iis,15,100000,4
pension,760.0065112400837,iis,15,100000,4
kz,0.09120078134881006,iis,15,100000,4
savings,123456.60270197476,iis,15,100000,5
roi,0.20542185997322795,iis,15,100000,5
irr,0.02321242090125364,iis,15,100000,5
twr,0.04219092278368208,iis,15,100000,5
pension,455.7158091225947,iis,15,100000,5
kz,0.05468589709471137,iis,15,100000,5
savings,179461.2784094507,iis,15,100000,6
roi,0.7522476990210674,iis,15,100000,6
irr,0.06795952040139053,iis,15,100000,6
twr,0.07107862246352736,iis,15,100000,6
pension,662.4460734106195,iis,15,100000,6
kz,0.07949352880927435,iis,15,100000,6
savings,367956.5124042854,iis,15,100000,7
roi,2.5927023250619636,iis,15,100000,7
irr,0.149643662675768,iis,15,100000,7
twr,0.1414256647705201,iis,15,100000,7
pension,1358.239220117182,iis,15,100000,7
kz,0.16298870641406185,iis,15,100000,7
savings,301374.25816261576,iis,15,100000,8
roi,1.9425977296605228,iis,15,100000,8
irr,0.1273233896674577,iis,15,100000,8
twr,0.1196450975581349,iis,15,100000,8
pension,1112.4639014961435,iis,15,100000,8
kz,0.13349566817953723,iis,15,100000,8
savings,97222.99345578137,iis,15,100000,9
roi,-0.050721313897305616,iis,15,100000,9
irr,-0.006592001342349274,iis,15,100000,9
twr,0.010118840492782999,iis,15,100000,9
pension,358.8795913571129,iis,15,100000,9
kz,0.04306555096285355,iis,15,100000,9
savings,329202.0888944336,iis,15,200000,0
roi,0.607153386765974,iis,15,200000,0
irr,0.05779391629306474,iis,15,200000,0
twr,0.05210976664673783,iis,15,200000,0
pension,1215.1848748627153,iis,15,200000,0
kz,0.07291109249176293,iis,15,200000,0
savings,609765.3288660079,iis,15,200000,1
roi,1.9768535695219367,iis,15,200000,1
irr,0.12862403782104503,iis,15,200000,1
twr,0.10472576737859662,iis,15,200000,1
pension,2250.82898878954,iis,15,200000,1
kz,0.1350497393273724,iis,15,200000,1
savings,364280.53440904827,iis,15,200000,2
roi,0.7784051631463393,iis,15,200000,2
irr,0.069693079772422,iis,15,200000,2
twr,0.08399670181188323,iis,15,200000,2
pension,1344.6700690976913,iis,15,200000,2
kz,0.0806802041458615,iis,15,200000,2
savings,537960.2892083484,iis,15,200000,3
roi,1.626303811286111,iis,15,200000,3
irr,0.11449619871022043,iis,15,200000,3
